INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000852.SH,600399.SH,2025/9/23,抚顺特钢,5.27,0.572519083969,0.109,0.044251,103.92967,103.92967,19.721,19.721
000852.SH,600416.SH,2025/9/23,湘电股份,16.41,9.986595174263,0.199,1.409216,217.4991976245,242.1758892144,13.25406445,14.75782384
000852.SH,600422.SH,2025/9/23,昆药集团,14.07,-0.775740479549,0.095,-0.052257,106.5064890099,106.5064890099,7.56975757,7.56975757
000852.SH,600428.SH,2025/9/23,中远海特,6.69,1.363636363636,0.091,0.087993,163.5896055027,183.5682744255,24.45285583,27.43920395
000852.SH,600458.SH,2025/9/23,时代新材,15.17,2.987101154107,0.084,0.177925,122.8389645624,141.26008185,8.09749272,9.311805
000852.SH,000019.SZ,2025/9/23,深粮控股,6.57,-1.05421686747,0.029,-0.021679,27.3454179399,75.7215661878,4.16216407,11.52535254
000852.SH,600508.SH,2025/9/23,上海能源,12.24,0.492610837438,0.043,0.01502,88.4606832,88.4606832,7.22718,7.22718
000852.SH,600509.SH,2025/9/23,天富能源,8.63,-0.918484500574,0.079,-0.051452,118.6104962241,118.6104962241,13.74397407,13.74397407
000852.SH,000810.SZ,2025/9/23,创维数字,14.49,1.328671328671,0.089,0.083852,160.9278490575,165.4171993971,11.10613175,11.41595579
000852.SH,000811.SZ,2025/9/23,冰轮环境,14.31,4.148471615721,0.116,0.341235,140.01651883530002,142.0465185495,9.78452263,9.92638145
000852.SH,000813.SZ,2025/9/23,德展健康,4.16,-5.022831050228,0.051000000000000004,-0.181646,87.225238464,87.239590464,20.9676054,20.9710554
000852.SH,600810.SH,2025/9/23,神马股份,10.36,-0.480307396734,0.051000000000000004,-0.01737,104.14722410959999,105.1651977096,10.05282086,10.15108086
000852.SH,600812.SH,2025/9/23,华北制药,5.75,-2.210884353741,0.068,-0.106606,98.654496275,98.654496275,17.1573037,17.1573037
000852.SH,000028.SZ,2025/9/23,国药一致,25.29,-0.823529411765,0.062,-0.036206,120.89978376479999,140.7553079733,4.78053712,5.56565077
000852.SH,000029.SZ,2025/9/23,深深房A,28.54,1.565836298932,0.096,0.106592,254.479764,288.727764,8.9166,10.1166
000852.SH,000030.SZ,2025/9/23,富奥股份,5.54,-0.18018018018,0.037,-0.004727,92.568217053,95.277520813,16.70906445,17.19810845
000852.SH,000035.SZ,2025/9/23,中国天楹,4.81,-0.619834710744,0.095,-0.041755,116.6825509941,120.2876710542,24.25832661,25.00783182
000852.SH,000821.SZ,2025/9/23,京山轻机,12.42,-0.719424460432,0.074,-0.037751,75.0976248888,77.3610474276,6.04650764,6.22874778
000852.SH,600821.SH,2025/9/23,金开新能,5.54,-1.598579040853,0.101,-0.114489,110.64839529620001,110.6483952962,19.97263453,19.97263453
000852.SH,600827.SH,2025/9/23,百联股份,9.04,-2.375809935205,0.099,-0.166784,145.042272768,161.2887977768,16.0444992,17.84168117
000852.SH,000761.SZ,2025/9/23,本钢板材,3.49,-3.055555555556,0.033,-0.071501,129.4173039545,143.3773039545,37.08232205,41.08232205
000852.SH,600185.SH,2025/9/23,珠免集团,5.67,-1.903114186851,0.08099999999999999,-0.109309,106.8798285765,106.8798285765,18.85005795,18.85005795
000852.SH,600186.SH,2025/9/23,莲花控股,5.83,-1.018675721562,0.13999999999999999,-0.101128,104.16521871030001,104.5381463203,17.86710441,17.93107141
000852.SH,000829.SZ,2025/9/23,天音控股,9.55,-2.351738241309,0.107,-0.178435,97.8043833895,97.897091829,10.24129669,10.25100438
000852.SH,000762.SZ,2025/9/23,西藏矿业,21.43,-2.369020501139,0.11399999999999999,-0.191505,111.6075724374,111.687618202,5.20800618,5.2117414
000852.SH,000766.SZ,2025/9/23,通化金马,25.76,-0.540540540541,0.28500000000000003,-0.10924,248.8435786256,248.9690365232,9.66007681,9.66494707
000852.SH,000767.SZ,2025/9/23,晋控电力,2.92,-2.013422818792,0.058,-0.082808,85.0375959312,89.8467127948,29.12246436,30.76942219
000852.SH,600195.SH,2025/9/23,中牧股份,7.04,-1.123595505618,0.048,-0.038244,71.888837504,71.888837504,10.2114826,10.2114826
000852.SH,600197.SH,2025/9/23,伊力特,15.13,-1.689408706953,0.056999999999999995,-0.068284,71.5913346821,71.5913346821,4.73174717,4.73174717
000852.SH,600201.SH,2025/9/23,生物股份,8.94,-1.866081229418,0.11900000000000001,-0.157465,99.3902556444,99.3902556444,11.11747826,11.11747826
000852.SH,600206.SH,2025/9/23,有研新材,20.34,-2.164502164502,0.168,-0.257854,172.1889477288,172.1889477288,8.46553332,8.46553332
000852.SH,000837.SZ,2025/9/23,秦川机床,14.08,-2.896551724138,0.098,-0.201286,141.8421082496,143.6168218496,10.07401337,10.20005837
000852.SH,000848.SZ,2025/9/23,承德露露,8.38,-1.179245283019,0.068,-0.056862,87.3660314012,88.2040314012,10.42554074,10.52554074
000852.SH,600273.SH,2025/9/23,嘉化能源,8.13,0.12315270936,0.105,0.009169,110.3143051386,110.3143051386,13.56879522,13.56879522
000852.SH,000589.SZ,2025/9/23,贵州轮胎,4.51,-0.660792951542,0.07100000000000001,-0.033268,69.3261867804,70.1164470204,15.37166004,15.54688404
000852.SH,600577.SH,2025/9/23,精达股份,9.47,5.339265850945,0.198,0.749642,203.5271153108,203.5271153108,21.49177564,21.49177564
000852.SH,000791.SZ,2025/9/23,甘肃能源,6.49,1.724137931034,0.052,0.063574,125.6218539114,210.5251992558,19.35621786,32.43839742
000852.SH,002051.SZ,2025/9/23,中工国际,8.23,0.121654501217,0.053,0.004572,101.8328941091,101.8387555151,12.37337717,12.37408937
000852.SH,002053.SZ,2025/9/23,云南能投,12.7,-3.71493555724,0.052,-0.136981,116.93181325299999,116.932641928,9.20722939,9.20729464
000852.SH,000581.SZ,2025/9/23,威孚高科,21.72,-1.630434782609,0.16199999999999998,-0.187295,172.4279230428,209.9858525196,7.93867049,9.66785693
000852.SH,600210.SH,2025/9/23,紫江企业,7.15,-2.853260869565,0.106,-0.214464,108.44663529700001,108.446635297,15.16736158,15.16736158
000852.SH,600211.SH,2025/9/23,西藏药业,47.5,-7.063197026022,0.095,-0.475808,153.1016181,153.1016181,3.22319196,3.22319196
000852.SH,600216.SH,2025/9/23,浙江医药,14.03,-2.569444444444,0.131,-0.238681,134.9171765425,134.917776325,9.61633475,9.6163775
000852.SH,600217.SH,2025/9/23,中再资环,4.18,-2.107728337237,0.064,-0.095654,69.2899235314,69.2899235314,16.57653673,16.57653673
000852.SH,600586.SH,2025/9/23,金晶科技,4.94,-0.603621730382,0.061,-0.02611,70.01648238,70.01648238,14.173377,14.173377
000852.SH,600587.SH,2025/9/23,新华医疗,16.07,-1.411042944785,0.098,-0.098056,97.1209791852,97.4931415833,6.04362036,6.06677919
000852.SH,600531.SH,2025/9/23,豫光金铅,11.12,-2.284710017575,0.086,-0.139327,121.23672852,121.23672852,10.9025835,10.9025835
000852.SH,600223.SH,2025/9/23,福瑞达,7.54,-1.049868766404,0.051000000000000004,-0.037968,76.649285635,76.649285635,10.16568775,10.16568775
000852.SH,000899.SZ,2025/9/23,赣能股份,9.29,-0.42872454448,0.034999999999999996,-0.01064,90.640463904,90.640463904,9.7567776,9.7567776
000852.SH,600595.SH,2025/9/23,中孚实业,5.18,0.582524271845,0.16199999999999998,0.066917,207.6094849052,207.6094849052,40.07905114,40.07905114
000852.SH,600596.SH,2025/9/23,新安股份,10.16,-2.868068833652,0.125,-0.254218,137.1190601784,137.1190601784,13.49597049,13.49597049
000852.SH,600597.SH,2025/9/23,光明乳业,8.37,-0.593824228029,0.075,-0.031581,115.3767138831,115.3782539631,13.78455363,13.78473763
000852.SH,600548.SH,2025/9/23,深高速,9.81,1.447776628749,0.047,0.048251,140.60381898059998,248.9636860587,14.33270326,25.37856127
000852.SH,600894.SH,2025/9/23,广日股份,9.89,-0.603015075377,0.055999999999999994,-0.023945,83.3869856105,84.2309900018,8.43144445,8.51678362
000852.SH,000901.SZ,2025/9/23,航天科技,15.69,-2.242990654206,0.13799999999999998,-0.219489,125.2365414789,125.2378006014,7.98193381,7.98201406
000852.SH,000902.SZ,2025/9/23,新洋丰,13.35,-1.621223286662,0.117,-0.134504,152.5614646845,167.5068988875,11.42782507,12.54733325
000852.SH,600601.SH,2025/9/23,方正科技,10.92,-3.957783641161,0.316,-0.886842,455.3960269404,466.6927232604,41.70293287,42.73742887
000852.SH,600604.SH,2025/9/23,市北高新,5.31,-2.747252747253,0.051000000000000004,-0.099352,74.7358500924,99.4724850924,14.07454804,18.73304804
000852.SH,000801.SZ,2025/9/23,四川九洲,16.44,-0.904159132007,0.13699999999999998,-0.087836,168.1494126024,168.1494126024,10.22806646,10.22806646
000852.SH,600366.SH,2025/9/23,宁波韵升,13.96,-3.257103257103,0.166,-0.383395,148.4006682256,153.4261307196,10.63042036,10.99041051
000852.SH,600618.SH,2025/9/23,氯碱化工,10.03,-1.376597836775,0.03,-0.029284,75.2089495928,115.9869175928,7.49839976,11.56399976
000852.SH,600621.SH,2025/9/23,华鑫股份,15.78,-1.987577639752,0.11900000000000001,-0.167717,167.4099082776,167.4099082776,10.60899292,10.60899292
000852.SH,600623.SH,2025/9/23,华谊集团,8.17,-1.209189842805,0.083,-0.071167,152.9294894392,173.435315576,18.71841976,21.2283128
000852.SH,600475.SH,2025/9/23,华光环能,15.79,-3.543066585217,0.104,-0.261288,148.8816566091,150.9469886091,9.42885729,9.55965729
000852.SH,600020.SH,2025/9/23,中原高速,4.28,-0.2331002331,0.05,-0.008265,96.18751440959998,96.1875144096,22.47371832,22.47371832
000852.SH,600389.SH,2025/9/23,江山股份,24.7,-2.139461172742,0.095,-0.144124,106.37055,106.37055,4.3065,4.3065
000852.SH,600395.SH,2025/9/23,盘江股份,5.29,1.926782273603,0.06899999999999999,0.094273,113.5564568926,113.5564568926,21.46624894,21.46624894
000852.SH,000913.SZ,2025/9/23,钱江摩托,17.07,-0.350262697023,0.067,-0.016641,79.0755801,89.88951045,4.63243,5.265935
000852.SH,000915.SZ,2025/9/23,华特达因,31.71,-0.502039535613,0.078,-0.027768,74.2583939685,74.3065138935,2.34179735,2.34331485
000852.SH,000917.SZ,2025/9/23,电广传媒,8.1,-0.735294117647,0.13799999999999998,-0.071953,114.814208403,114.822063378,14.17459363,14.17556338
000852.SH,600480.SH,2025/9/23,凌云股份,14.09,0.142146410803,0.126,0.0127,169.6664236865,172.2305912093,12.04161985,12.22360477
000852.SH,600449.SH,2025/9/23,宁夏建材,12.97,-0.840978593272,0.049,-0.029221,62.0200811474,62.0200811474,4.78181042,4.78181042
